ENSMUSG00000064336	mt-Tf
ENSMUSG00000064337	mt-Rnr1
ENSMUSG00000064338	mt-Tv
ENSMUSG00000064339	mt-Rnr2
ENSMUSG00000064340	mt-Tl1
ENSMUSG00000064342	mt-Ti
ENSMUSG00000064343	mt-Tq
ENSMUSG00000064344	mt-Tm
ENSMUSG00000064346	mt-Tw
ENSMUSG00000064347	mt-Ta
ENSMUSG00000064348	mt-Tn
ENSMUSG00000064349	mt-Tc
ENSMUSG00000064350	mt-Ty
ENSMUSG00000064352	mt-Ts1
ENSMUSG00000064353	mt-Td
ENSMUSG00000064355	mt-Tk
ENSMUSG00000064359	mt-Tg
ENSMUSG00000064361	mt-Tr
ENSMUSG00000064364	mt-Th
ENSMUSG00000064365	mt-Ts2
ENSMUSG00000064366	mt-Tl2
ENSMUSG00000064369	mt-Te
ENSMUSG00000064371	mt-Tt
ENSMUSG00000064372	mt-Tp
ENSMUSG00000111615	RP23-405E15.2
ENSMUSG00000101921	Gm28825
ENSMUSG00000110163	Gm45389
ENSMUSG00000103712	Gm37659
ENSMUSG00000102242	Gm37719
ENSMUSG00000108117	Gm44262
ENSMUSG00000101447	Gm28826
ENSMUSG00000110873	RP23-342N3.2
ENSMUSG00000103595	Gm37355
ENSMUSG00000084298	Gm14331
ENSMUSG00000110882	RP24-254A5.4
ENSMUSG00000086072	Gm11861
ENSMUSG00000100131	Gm28439
ENSMUSG00000110786	RP23-377C12.2
ENSMUSG00000102714	Gm37618
ENSMUSG00000103473	Gm37696
ENSMUSG00000103246	Gm38090
ENSMUSG00000110880	RP23-442A13.3
ENSMUSG00000105366	Gm43719
ENSMUSG00000082552	Gm11850
ENSMUSG00000104905	Gm43718
ENSMUSG00000103120	Gm37392
ENSMUSG00000082167	Gm14360
ENSMUSG00000111198	RP23-340G24.6
ENSMUSG00000109823	Gm45388
ENSMUSG00000082025	Gm14359
ENSMUSG00000082490	Gm11880
ENSMUSG00000106101	Gm43438
ENSMUSG00000106001	Gm42826
ENSMUSG00000080738	Mup-ps22
ENSMUSG00000104638	Gm43716
ENSMUSG00000104067	Gm37196
ENSMUSG00000049832	Gm9840
ENSMUSG00000106064	Gm43325
ENSMUSG00000105487	Gm43324
ENSMUSG00000099827	Gm29520
ENSMUSG00000111683	RP23-442A13.4
ENSMUSG00000111485	RP24-570C10.8
ENSMUSG00000107013	Gm43635
ENSMUSG00000081723	Gm15931
ENSMUSG00000111417	RP23-366K1.6
ENSMUSG00000102466	Gm38200
ENSMUSG00000100866	Gm28830
ENSMUSG00000103322	Gm37404
ENSMUSG00000098069	Gm26942
ENSMUSG00000105832	Gm43841
ENSMUSG00000106596	Gm42822
ENSMUSG00000101775	Gm28088
ENSMUSG00000105711	Gm42598
ENSMUSG00000112175	RP23-184H3.4
ENSMUSG00000108552	Gm45227
ENSMUSG00000094725	Gm15251
ENSMUSG00000108743	Gm44881
ENSMUSG00000111905	RP24-347C6.5
ENSMUSG00000112833	RP23-184H3.3
ENSMUSG00000108589	Gm45225
ENSMUSG00000105980	Gm42597
ENSMUSG00000105335	Gm42423
ENSMUSG00000100321	Gm29579
ENSMUSG00000085978	Gm15258
ENSMUSG00000112825	RP23-184H3.5
ENSMUSG00000082081	Gm14358
ENSMUSG00000106090	Gm43704
ENSMUSG00000107409	Gm43954
ENSMUSG00000079893	Scgb1b23-ps
ENSMUSG00000112466	RP23-240M3.1
ENSMUSG00000110211	Gm45482
ENSMUSG00000103991	Gm38031
ENSMUSG00000103044	Gm37307
ENSMUSG00000103060	Gm36969
ENSMUSG00000104001	Gm38334
ENSMUSG00000109381	Gm44826
ENSMUSG00000109091	Gm44827
ENSMUSG00000099428	Gm28155
ENSMUSG00000103000	Gm37900
ENSMUSG00000087389	Gm15592
ENSMUSG00000085478	Gm11851
ENSMUSG00000109919	Gm45673
ENSMUSG00000086500	Gm15875
ENSMUSG00000089866	Gm15699
ENSMUSG00000111546	RP24-233B16.8
ENSMUSG00000110362	Gm45554
ENSMUSG00000110707	Gm45795
ENSMUSG00000098715	Gm28053
ENSMUSG00000092483	Gm20421
ENSMUSG00000111505	RP24-122E11.4
ENSMUSG00000111330	RP23-340G24.11
ENSMUSG00000111483	RP23-340G24.10
ENSMUSG00000100396	Gm29367
ENSMUSG00000103043	Gm37306
ENSMUSG00000101183	Gm28614
ENSMUSG00000102179	Gm37868
ENSMUSG00000102885	Gm37280
ENSMUSG00000102421	Gm37325
ENSMUSG00000104239	Gm37588
ENSMUSG00000085775	Gm14364
ENSMUSG00000103497	Gm37407
ENSMUSG00000082199	Gm15763
ENSMUSG00000102400	Gm37865
ENSMUSG00000111651	RP23-114N1.10
ENSMUSG00000102520	Gm36941
ENSMUSG00000085966	Gm14368
ENSMUSG00000107290	Gm43282
ENSMUSG00000106785	Gm42713
ENSMUSG00000086964	Gm15948
ENSMUSG00000031640	Gm45753
ENSMUSG00000106749	Gm43281
ENSMUSG00000103767	Gm37858
ENSMUSG00000085575	Gm15485
ENSMUSG00000105176	Gm43668
ENSMUSG00000112326	RP24-238B3.3
ENSMUSG00000112836	RP24-137E16.3
ENSMUSG00000102436	Gm38047
ENSMUSG00000104988	Gm43622
ENSMUSG00000081293	Gm11673
ENSMUSG00000093575	Gm20695
ENSMUSG00000087492	Gm15700
ENSMUSG00000110316	Gm45311
ENSMUSG00000110561	Gm45888
ENSMUSG00000107045	Gm43636
ENSMUSG00000112128	RP23-358M4.6
ENSMUSG00000086676	Gm14705
ENSMUSG00000099698	Gm28740
ENSMUSG00000105484	Gm42775
ENSMUSG00000108180	Gm44141
ENSMUSG00000101530	Gm29259
ENSMUSG00000105135	Gm43667
ENSMUSG00000100676	Gm28860
ENSMUSG00000101539	Gm28252
ENSMUSG00000111217	RP23-377C12.4
ENSMUSG00000110272	Gm45310
ENSMUSG00000108035	Gm44021
ENSMUSG00000102934	Gm38117
ENSMUSG00000107706	Gm44022
ENSMUSG00000108148	Gm44020
ENSMUSG00000104764	Gm43066
ENSMUSG00000109310	Gm44576
ENSMUSG00000085572	Gm16234
ENSMUSG00000103638	Gm38327
ENSMUSG00000111383	RP23-114N1.9
ENSMUSG00000104864	Gm43655
ENSMUSG00000084102	Sult2a-ps3
ENSMUSG00000102234	Gm37885
ENSMUSG00000104415	Gm37069
ENSMUSG00000106843	Gm42458
ENSMUSG00000102726	Gm37937
ENSMUSG00000084191	Gm15167
ENSMUSG00000085425	Gm15648
ENSMUSG00000099882	Gm28388
ENSMUSG00000109858	Gm45800
