probeId	geneId
1007_s_at	ENSG00000234078
1007_s_at	ENSG00000137332
1007_s_at	ENSG00000204580
1007_s_at	ENSG00000215522
1007_s_at	ENSG00000230456
1053_at	ENSG00000049541
117_at	ENSG00000173110
121_at	ENSG00000125618
1255_g_at	ENSG00000048545
1294_at	ENSG00000182179
1316_at	ENSG00000126351
1320_at	ENSG00000070778
1405_i_at	ENSG00000161570
1415670_at	ENSMUSG00000030058
1415671_at	ENSMUSG00000013160
1415672_at	ENSMUSG00000015341
1415673_at	ENSMUSG00000029446
1415674_a_at	ENSMUSG00000032112
1415675_at	ENSMUSG00000026810
1415676_a_at	ENSMUSG00000022193
1415677_at	ENSMUSG00000002332
1415678_at	ENSMUSG00000021096
1415679_at	ENSMUSG00000036835
1415680_at	ENSMUSG00000014355
1415681_at	ENSMUSG00000025208
1415682_at	ENSMUSG00000022100
1415683_at	ENSMUSG00000020936
1415684_at	ENSMUSG00000038160
1415685_at	ENSMUSG00000020459
1415686_at	ENSMUSG00000026878
1415687_a_at	ENSMUSG00000004207
1415688_at	ENSMUSG00000020794
1415689_s_at	ENSMUSG00000021327
1415690_at	ENSMUSG00000024414
1415691_at	ENSMUSG00000022770
1415692_s_at	ENSMUSG00000020368
1415693_at	ENSMUSG00000022365
1415694_at	ENSMUSG00000021266
1415695_at	ENSMUSG00000030751
1415696_at	ENSMUSG00000020088
1415697_at	ENSMUSG00000029405
1415698_at	ENSMUSG00000021556
1415699_a_at	ENSMUSG00000025156
1415700_a_at	ENSMUSG00000027828
1415701_x_at	ENSMUSG00000071415
1415702_a_at	ENSMUSG00000037373
1415703_at	ENSMUSG00000025261
1415704_a_at	ENSMUSG00000032803
1415705_at	ENSMUSG00000044600
1415706_at	ENSMUSG00000026553
1415707_at	ENSMUSG00000026965
1415709_s_at	ENSMUSG00000025224
1415710_at	ENSMUSG00000035505
1415711_at	ENSMUSG00000067851
1415712_at	ENSMUSG00000030967
1415713_a_at	ENSMUSG00000041645
1415714_a_at	ENSMUSG00000001158
1415715_at	ENSMUSG00000019295
1415716_a_at	ENSMUSG00000050621
1415716_a_at	ENSMUSG00000092065
1415716_a_at	ENSMUSG00000090733
1415717_at	ENSMUSG00000028677
1415718_at	ENSMUSG00000020519
1415719_s_at	ENSMUSG00000027599
1415720_s_at	ENSMUSG00000034509
1415721_a_at	ENSMUSG00000005982
1415722_a_at	ENSMUSG00000019868
1415723_at	ENSMUSG00000021282
1415724_a_at	ENSMUSG00000006699
1415725_at	ENSMUSG00000022682
1415726_at	ENSMUSG00000055204
1415727_at	ENSMUSG00000028070
1415728_at	ENSMUSG00000022194
1415729_at	ENSMUSG00000024122
1415730_at	ENSMUSG00000034820
1415731_at	ENSMUSG00000026634
1415732_at	ENSMUSG00000007036
1415733_a_at	ENSMUSG00000078713
1415734_at	ENSMUSG00000079477
1415735_at	ENSMUSG00000024740
1415736_at	ENSMUSG00000001289
1415737_at	ENSMUSG00000024712
1415738_at	ENSMUSG00000028567
1415739_at	ENSMUSG00000036733
1415739_at	ENSMUSG00000078762
1415740_at	ENSMUSG00000020708
1415741_at	ENSMUSG00000029234
1415742_at	ENSMUSG00000068328
1415743_at	ENSMUSG00000008855
1415744_at	ENSMUSG00000024309
1415745_a_at	ENSMUSG00000022898
1415746_at	ENSMUSG00000005442
1415747_s_at	ENSMUSG00000024404
1415748_a_at	ENSMUSG00000030868
1415749_a_at	ENSMUSG00000028646
1415750_at	ENSMUSG00000040688
1415751_at	ENSMUSG00000028759
1415752_at	ENSMUSG00000036299
1415753_at	ENSMUSG00000003346
1415754_at	ENSMUSG00000033020
1415755_a_at	ENSMUSG00000089739
1415755_a_at	ENSMUSG00000027694
1415755_a_at	ENSMUSG00000072978
1415755_a_at	ENSMUSG00000078923
1415756_a_at	ENSMUSG00000001018
1415757_at	ENSMUSG00000025224
1415758_at	ENSMUSG00000070733
1415759_a_at	ENSMUSG00000087260
1415760_s_at	ENSMUSG00000018585
1415761_at	ENSMUSG00000010406
1415762_x_at	ENSMUSG00000010406
1415763_a_at	ENSMUSG00000028797
1415764_at	ENSMUSG00000026464
1415765_at	ENSMUSG00000071659
1415766_at	ENSMUSG00000027879
1415767_at	ENSMUSG00000038848
1415768_a_at	ENSMUSG00000036241
1415769_at	ENSMUSG00000027598
1415770_at	ENSMUSG00000066357
1415771_at	ENSMUSG00000026234
1415772_at	ENSMUSG00000026234
1415773_at	ENSMUSG00000026234
1415774_at	ENSMUSG00000024271
1415775_at	ENSMUSG00000031353
1415776_at	ENSMUSG00000010025
1415777_at	ENSMUSG00000042179
1415778_at	ENSMUSG00000031422
1415779_s_at	ENSMUSG00000062825
1415780_a_at	ENSMUSG00000033436
1415781_a_at	ENSMUSG00000020738
1415782_at	ENSMUSG00000020738
1415783_at	ENSMUSG00000031696
1415784_at	ENSMUSG00000031696
1415785_a_at	ENSMUSG00000025613
1415786_at	ENSMUSG00000023987
1415787_at	ENSMUSG00000071650
1415788_at	ENSMUSG00000041231
1415789_a_at	ENSMUSG00000041231
1415790_at	ENSMUSG00000041231
1415791_at	ENSMUSG00000029474
1415792_at	ENSMUSG00000027466
1415793_at	ENSMUSG00000018659
1415794_a_at	ENSMUSG00000021395
1415795_at	ENSMUSG00000021395
1415796_at	ENSMUSG00000000346
1415797_at	ENSMUSG00000003534
1415798_at	ENSMUSG00000003534
1415799_at	ENSMUSG00000030216
1415800_at	ENSMUSG00000050953
1415801_at	ENSMUSG00000050953
1415802_at	ENSMUSG00000032902
1415803_at	ENSMUSG00000031778
1415804_at	ENSMUSG00000031778
1415805_at	ENSMUSG00000024225
1415806_at	ENSMUSG00000031538
1415807_s_at	ENSMUSG00000034120
1415808_at	ENSMUSG00000033834
1415809_at	ENSMUSG00000033834
1415810_at	ENSMUSG00000001228
1415811_at	ENSMUSG00000001228
1415812_at	ENSMUSG00000026879
1415813_at	ENSMUSG00000027193
1415814_at	ENSMUSG00000006273
1415815_at	ENSMUSG00000021326
1415816_at	ENSMUSG00000030007
1415817_s_at	ENSMUSG00000030007
1415818_at	ENSMUSG00000018340
1415819_a_at	ENSMUSG00000007564
1415820_x_at	ENSMUSG00000031311
1415821_at	ENSMUSG00000032336
1415822_at	ENSMUSG00000025203
1415823_at	ENSMUSG00000025203
1415824_at	ENSMUSG00000025203
1415825_s_at	ENSMUSG00000025162
1415826_at	ENSMUSG00000033793
1415827_a_at	ENSMUSG00000027808
1415828_a_at	ENSMUSG00000027808
1415829_at	ENSMUSG00000004880
1415830_at	ENSMUSG00000029012
1415831_at	ENSMUSG00000006998
