probeId	geneId
ILMN_1212602	ENSMUSG00000037418
ILMN_1212605	ENSMUSG00000051319
ILMN_1212607	ENSMUSG00000045867
ILMN_1212612	ENSMUSG00000039601
ILMN_1212614	ENSMUSG00000056476
ILMN_1212619	ENSMUSG00000031647
ILMN_1212623	ENSMUSG00000020014
ILMN_1212625	ENSMUSG00000033918
ILMN_1212626	ENSMUSG00000063628
ILMN_1212626	ENSMUSG00000027907
ILMN_1212626	ENSMUSG00000078238
ILMN_1212628	ENSMUSG00000091002
ILMN_1212632	ENSMUSG00000051065
ILMN_1212636	ENSMUSG00000030224
ILMN_1212637	ENSMUSG00000041891
ILMN_1212639	ENSMUSG00000020541
ILMN_1212644	ENSMUSG00000030465
ILMN_1212645	ENSMUSG00000030108
ILMN_1212646	ENSMUSG00000055991
ILMN_1212648	ENSMUSG00000046862
ILMN_1212649	ENSMUSG00000038039
ILMN_1212650	ENSMUSG00000055371
ILMN_1212652	ENSMUSG00000059742
ILMN_1212653	ENSMUSG00000025978
ILMN_1212663	ENSMUSG00000014748
ILMN_1212670	ENSMUSG00000035476
ILMN_1212672	ENSMUSG00000020549
ILMN_1212682	ENSMUSG00000047591
ILMN_1212683	ENSMUSG00000053111
ILMN_1212684	ENSMUSG00000084081
ILMN_1212685	ENSMUSG00000024539
ILMN_1212689	ENSMUSG00000037685
ILMN_1212692	ENSMUSG00000004864
ILMN_1212693	ENSMUSG00000032733
ILMN_1212695	ENSMUSG00000063234
ILMN_1212698	ENSMUSG00000005686
ILMN_1212702	ENSMUSG00000069917
ILMN_1212702	ENSMUSG00000069919
ILMN_1212703	ENSMUSG00000040370
ILMN_1212704	ENSMUSG00000043003
ILMN_1212714	ENSMUSG00000005268
ILMN_1212716	ENSMUSG00000048498
ILMN_1212717	ENSMUSG00000047407
ILMN_1212720	ENSMUSG00000033423
ILMN_1212724	ENSMUSG00000021907
ILMN_1212730	ENSMUSG00000026735
ILMN_1212733	ENSMUSG00000005417
ILMN_1212734	ENSMUSG00000020021
ILMN_1212739	ENSMUSG00000022821
ILMN_1212745	ENSMUSG00000028546
ILMN_1212752	ENSMUSG00000056947
ILMN_1212755	ENSMUSG00000076638
ILMN_1212759	ENSMUSG00000026927
ILMN_1212762	ENSMUSG00000044824
ILMN_1212782	ENSMUSG00000024223
ILMN_1212791	ENSMUSG00000029575
ILMN_1212794	ENSMUSG00000019188
ILMN_1212796	ENSMUSG00000020695
ILMN_1212797	ENSMUSG00000023805
ILMN_1212799	ENSMUSG00000027115
ILMN_1212801	ENSMUSG00000045613
ILMN_1212804	ENSMUSG00000045515
ILMN_1212806	ENSMUSG00000037846
ILMN_1212809	ENSMUSG00000040102
ILMN_1212812	ENSMUSG00000028751
ILMN_1212823	ENSMUSG00000035305
ILMN_1212828	ENSMUSG00000062175
ILMN_1212835	ENSMUSG00000054545
ILMN_1212835	ENSMUSG00000090145
ILMN_1212836	ENSMUSG00000026395
ILMN_1212838	ENSMUSG00000032913
ILMN_1212840	ENSMUSG00000048911
ILMN_1212842	ENSMUSG00000048612
ILMN_1212847	ENSMUSG00000086800
ILMN_1212848	ENSMUSG00000072872
